Categorie,Image_ID,Attaque_Complete,Type_Attaque,Intensite,Algorithme,Param_hash_size,Param_mode,Distance_Hamming,Similarite_Pct
faces,1,Original,Original,0,wHash,8,haar,0,100.0
faces,1,Original,Original,0,wHash,8,db4,0,100.0
faces,1,Original,Original,0,wHash,8,sym5,0,100.0
faces,1,Original,Original,0,wHash,8,coif1,0,100.0
faces,1,Original,Original,0,wHash,16,haar,0,100.0
faces,1,Original,Original,0,wHash,16,db4,0,100.0
faces,1,Original,Original,0,wHash,16,sym5,0,100.0
faces,1,Original,Original,0,wHash,16,coif1,0,100.0
faces,1,Original,Original,0,wHash,32,haar,0,100.0
faces,1,Original,Original,0,wHash,32,db4,0,100.0
faces,1,Original,Original,0,wHash,32,sym5,0,100.0
faces,1,Original,Original,0,wHash,32,coif1,0,100.0
faces,1,Compression_90,Compression,90,wHash,4,haar,0,100.0
faces,1,Compression_90,Compression,90,wHash,4,db4,0,100.0
faces,1,Compression_90,Compression,90,wHash,4,sym5,0,100.0
faces,1,Compression_90,Compression,90,wHash,4,coif1,0,100.0
faces,1,Compression_90,Compression,90,wHash,8,haar,0,100.0
faces,1,Compression_90,Compression,90,wHash,8,db4,0,100.0
faces,1,Compression_90,Compression,90,wHash,8,sym5,0,100.0
faces,1,Compression_90,Compression,90,wHash,8,coif1,0,100.0
faces,1,Compression_90,Compression,90,wHash,16,haar,0,100.0
faces,1,Compression_90,Compression,90,wHash,16,db4,0,100.0
faces,1,Compression_90,Compression,90,wHash,16,sym5,0,100.0
faces,1,Compression_90,Compression,90,wHash,16,coif1,0,100.0
faces,1,Compression_90,Compression,90,wHash,32,haar,0,100.0
faces,1,Compression_90,Compression,90,wHash,32,db4,2,99.86149584487535
faces,1,Compression_90,Compression,90,wHash,32,sym5,0,100.0
faces,1,Compression_90,Compression,90,wHash,32,coif1,0,100.0
faces,1,Compression_75,Compression,75,wHash,4,haar,0,100.0
faces,1,Compression_75,Compression,75,wHash,4,db4,8,92.0
faces,1,Compression_75,Compression,75,wHash,4,sym5,0,100.0
faces,1,Compression_75,Compression,75,wHash,4,coif1,0,100.0
faces,1,Compression_75,Compression,75,wHash,8,haar,0,100.0
faces,1,Compression_75,Compression,75,wHash,8,db4,0,100.0
faces,1,Compression_75,Compression,75,wHash,8,sym5,0,100.0
faces,1,Compression_75,Compression,75,wHash,8,coif1,0,100.0
faces,1,Compression_75,Compression,75,wHash,16,haar,0,100.0
faces,1,Compression_75,Compression,75,wHash,16,db4,0,100.0
faces,1,Compression_75,Compression,75,wHash,16,sym5,0,100.0
faces,1,Compression_75,Compression,75,wHash,16,coif1,0,100.0
faces,1,Compression_75,Compression,75,wHash,32,haar,0,100.0
faces,1,Compression_75,Compression,75,wHash,32,db4,2,99.86149584487535
faces,1,Compression_75,Compression,75,wHash,32,sym5,0,100.0
faces,1,Compression_75,Compression,75,wHash,32,coif1,0,100.0
faces,1,Compression_50,Compression,50,wHash,4,haar,0,100.0
faces,1,Compression_50,Compression,50,wHash,4,db4,10,90.0
faces,1,Compression_50,Compression,50,wHash,4,sym5,0,100.0
faces,1,Compression_50,Compression,50,wHash,4,coif1,0,100.0
faces,1,Compression_50,Compression,50,wHash,8,haar,0,100.0
faces,1,Compression_50,Compression,50,wHash,8,db4,2,98.9795918367347
faces,1,Compression_50,Compression,50,wHash,8,sym5,0,100.0
faces,1,Compression_50,Compression,50,wHash,8,coif1,0,100.0
faces,1,Compression_50,Compression,50,wHash,16,haar,0,100.0
faces,1,Compression_50,Compression,50,wHash,16,db4,2,99.58677685950413
faces,1,Compression_50,Compression,50,wHash,16,sym5,0,100.0
faces,1,Compression_50,Compression,50,wHash,16,coif1,0,100.0
faces,1,Compression_50,Compression,50,wHash,32,haar,2,99.8046875
faces,1,Compression_50,Compression,50,wHash,32,db4,0,100.0
faces,1,Compression_50,Compression,50,wHash,32,sym5,0,100.0
faces,1,Compression_50,Compression,50,wHash,32,coif1,0,100.0
faces,1,Compression_25,Compression,25,wHash,4,haar,0,100.0
faces,1,Compression_25,Compression,25,wHash,4,db4,6,94.0
faces,1,Compression_25,Compression,25,wHash,4,sym5,0,100.0
faces,1,Compression_25,Compression,25,wHash,4,coif1,0,100.0
faces,1,Compression_25,Compression,25,wHash,8,haar,0,100.0
faces,1,Compression_25,Compression,25,wHash,8,db4,0,100.0
faces,1,Compression_25,Compression,25,wHash,8,sym5,0,100.0
faces,1,Compression_25,Compression,25,wHash,8,coif1,0,100.0
faces,1,Compression_25,Compression,25,wHash,16,haar,0,100.0
faces,1,Compression_25,Compression,25,wHash,16,db4,2,99.58677685950413
faces,1,Compression_25,Compression,25,wHash,16,sym5,2,99.65277777777777
faces,1,Compression_25,Compression,25,wHash,16,coif1,0,100.0
faces,1,Compression_25,Compression,25,wHash,32,haar,2,99.8046875
faces,1,Compression_25,Compression,25,wHash,32,db4,2,99.86149584487535
faces,1,Compression_25,Compression,25,wHash,32,sym5,0,100.0
faces,1,Compression_25,Compression,25,wHash,32,coif1,2,99.84567901234568
faces,1,Compression_10,Compression,10,wHash,4,haar,0,100.0
faces,1,Compression_10,Compression,10,wHash,4,db4,12,88.0
faces,1,Compression_10,Compression,10,wHash,4,sym5,0,100.0
faces,1,Compression_10,Compression,10,wHash,4,coif1,0,100.0
faces,1,Compression_10,Compression,10,wHash,8,haar,0,100.0
faces,1,Compression_10,Compression,10,wHash,8,db4,4,97.95918367346938
faces,1,Compression_10,Compression,10,wHash,8,sym5,2,99.21875
faces,1,Compression_10,Compression,10,wHash,8,coif1,0,100.0
faces,1,Compression_10,Compression,10,wHash,16,haar,0,100.0
faces,1,Compression_10,Compression,10,wHash,16,db4,6,98.7603305785124
faces,1,Compression_10,Compression,10,wHash,16,sym5,2,99.65277777777777
faces,1,Compression_10,Compression,10,wHash,16,coif1,2,99.5
faces,1,Compression_10,Compression,10,wHash,32,haar,4,99.609375
faces,1,Compression_10,Compression,10,wHash,32,db4,4,99.7229916897507
faces,1,Compression_10,Compression,10,wHash,32,sym5,2,99.86850756081526
faces,1,Compression_10,Compression,10,wHash,32,coif1,6,99.53703703703704
faces,1,Resize_50,Resize,50,wHash,4,haar,0,100.0
faces,1,Resize_50,Resize,50,wHash,4,db4,14,86.0
faces,1,Resize_50,Resize,50,wHash,4,sym5,0,100.0
faces,1,Resize_50,Resize,50,wHash,4,coif1,0,100.0
faces,1,Resize_50,Resize,50,wHash,8,haar,0,100.0
faces,1,Resize_50,Resize,50,wHash,8,db4,8,95.91836734693878
faces,1,Resize_50,Resize,50,wHash,8,sym5,4,98.4375
faces,1,Resize_50,Resize,50,wHash,8,coif1,2,98.61111111111111
faces,1,Resize_50,Resize,50,wHash,16,haar,0,100.0
faces,1,Resize_50,Resize,50,wHash,16,db4,20,95.86776859504133
faces,1,Resize_50,Resize,50,wHash,16,coif1,4,99.0
faces,1,Resize_50,Resize,50,wHash,32,haar,2,99.8046875
faces,1,Resize_75,Resize,75,wHash,4,haar,0,100.0
faces,1,Resize_75,Resize,75,wHash,4,db4,16,84.0
faces,1,Resize_75,Resize,75,wHash,4,sym5,4,97.22222222222223
faces,1,Resize_75,Resize,75,wHash,4,coif1,2,96.875
faces,1,Resize_75,Resize,75,wHash,8,haar,0,100.0
faces,1,Resize_75,Resize,75,wHash,8,db4,10,94.89795918367346
faces,1,Resize_75,Resize,75,wHash,8,coif1,6,95.83333333333333
faces,1,Resize_75,Resize,75,wHash,16,haar,0,100.0
faces,1,Resize_75,Resize,75,wHash,32,haar,4,99.609375
faces,1,Resize_90,Resize,90,wHash,4,haar,0,100.0
faces,1,Resize_90,Resize,90,wHash,4,db4,26,74.0
faces,1,Resize_90,Resize,90,wHash,4,coif1,4,93.75
faces,1,Resize_90,Resize,90,wHash,8,haar,0,100.0
faces,1,Resize_90,Resize,90,wHash,16,haar,0,100.0
faces,1,Resize_90,Resize,90,wHash,32,haar,8,99.21875
faces,1,Downscale_50,Downscale,50,wHash,4,haar,0,100.0
faces,1,Downscale_50,Downscale,50,wHash,4,db4,2,98.0
faces,1,Downscale_50,Downscale,50,wHash,4,sym5,0,100.0
faces,1,Downscale_50,Downscale,50,wHash,4,coif1,0,100.0
faces,1,Downscale_50,Downscale,50,wHash,8,haar,0,100.0
faces,1,Downscale_50,Downscale,50,wHash,8,db4,0,100.0
faces,1,Downscale_50,Downscale,50,wHash,8,sym5,0,100.0
faces,1,Downscale_50,Downscale,50,wHash,8,coif1,0,100.0
faces,1,Downscale_50,Downscale,50,wHash,16,haar,0,100.0
faces,1,Downscale_50,Downscale,50,wHash,16,db4,2,99.58677685950413
faces,1,Downscale_50,Downscale,50,wHash,16,sym5,0,100.0
faces,1,Downscale_50,Downscale,50,wHash,16,coif1,0,100.0
faces,1,Downscale_50,Downscale,50,wHash,32,haar,0,100.0
faces,1,Downscale_50,Downscale,50,wHash,32,db4,2,99.86149584487535
faces,1,Downscale_50,Downscale,50,wHash,32,sym5,0,100.0
faces,1,Downscale_50,Downscale,50,wHash,32,coif1,0,100.0
faces,1,Downscale_75,Downscale,75,wHash,4,haar,0,100.0
faces,1,Downscale_75,Downscale,75,wHash,4,db4,4,96.0
faces,1,Downscale_75,Downscale,75,wHash,4,sym5,0,100.0
faces,1,Downscale_75,Downscale,75,wHash,4,coif1,0,100.0
faces,1,Downscale_75,Downscale,75,wHash,8,haar,0,100.0
faces,1,Downscale_75,Downscale,75,wHash,8,db4,0,100.0
faces,1,Downscale_75,Downscale,75,wHash,8,sym5,0,100.0
faces,1,Downscale_75,Downscale,75,wHash,8,coif1,0,100.0
faces,1,Downscale_75,Downscale,75,wHash,16,haar,0,100.0
faces,1,Downscale_75,Downscale,75,wHash,16,db4,2,99.58677685950413
faces,1,Downscale_75,Downscale,75,wHash,16,sym5,0,100.0
faces,1,Downscale_75,Downscale,75,wHash,16,coif1,2,99.5
faces,1,Downscale_75,Downscale,75,wHash,32,haar,2,99.8046875
faces,1,Downscale_75,Downscale,75,wHash,32,db4,4,99.7229916897507
faces,1,Downscale_75,Downscale,75,wHash,32,sym5,0,100.0
faces,1,Downscale_75,Downscale,75,wHash,32,coif1,0,100.0
faces,1,Downscale_90,Downscale,90,wHash,4,haar,0,100.0
faces,1,Downscale_90,Downscale,90,wHash,4,db4,4,96.0
faces,1,Downscale_90,Downscale,90,wHash,4,sym5,0,100.0
faces,1,Downscale_90,Downscale,90,wHash,4,coif1,0,100.0
faces,1,Downscale_90,Downscale,90,wHash,8,haar,0,100.0
faces,1,Downscale_90,Downscale,90,wHash,8,db4,0,100.0
faces,1,Downscale_90,Downscale,90,wHash,8,sym5,4,98.4375
