Categorie,Image_ID,Attaque_Complete,Type_Attaque,Intensite,Param_hash_size,Algorithme,Distance_Hamming,Similarite_Pct
faces,1,Compression_50,Compression,50,4,aHash,0,100.0
faces,1,Compression_50,Compression,50,4,dHash,0,100.0
faces,1,Compression_50,Compression,50,6,aHash,0,100.0
faces,1,Compression_50,Compression,50,6,dHash,0,100.0
faces,1,Compression_50,Compression,50,8,aHash,0,100.0
faces,1,Compression_50,Compression,50,8,dHash,0,100.0
faces,1,Compression_50,Compression,50,12,aHash,0,100.0
faces,1,Compression_50,Compression,50,12,dHash,2,98.61111111111111
faces,1,Compression_50,Compression,50,16,aHash,0,100.0
faces,1,Compression_50,Compression,50,16,dHash,4,98.4375
faces,1,Compression_50,Compression,50,24,aHash,0,100.0
faces,1,Compression_50,Compression,50,24,dHash,29,94.96527777777777
faces,1,Compression_50,Compression,50,32,aHash,0,100.0
faces,1,Compression_50,Compression,50,32,dHash,64,93.75
faces,1,Compression_25,Compression,25,4,aHash,0,100.0
faces,1,Compression_25,Compression,25,4,dHash,0,100.0
faces,1,Compression_25,Compression,25,6,aHash,0,100.0
faces,1,Compression_25,Compression,25,6,dHash,0,100.0
faces,1,Compression_25,Compression,25,8,aHash,0,100.0
faces,1,Compression_25,Compression,25,8,dHash,1,98.4375
faces,1,Compression_25,Compression,25,12,aHash,0,100.0
faces,1,Compression_25,Compression,25,12,dHash,4,97.22222222222223
faces,1,Compression_25,Compression,25,16,aHash,1,99.609375
faces,1,Compression_25,Compression,25,16,dHash,9,96.484375
faces,1,Compression_25,Compression,25,24,aHash,0,100.0
faces,1,Compression_25,Compression,25,24,dHash,37,93.57638888888889
faces,1,Compression_25,Compression,25,32,aHash,0,100.0
faces,1,Compression_25,Compression,25,32,dHash,57,94.43359375
faces,1,Compression_10,Compression,10,4,aHash,0,100.0
faces,1,Compression_10,Compression,10,4,dHash,0,100.0
faces,1,Compression_10,Compression,10,6,aHash,0,100.0
faces,1,Compression_10,Compression,10,6,dHash,0,100.0
faces,1,Compression_10,Compression,10,8,aHash,0,100.0
faces,1,Compression_10,Compression,10,8,dHash,1,98.4375
faces,1,Compression_10,Compression,10,12,aHash,0,100.0
faces,1,Compression_10,Compression,10,12,dHash,3,97.91666666666667
faces,1,Compression_10,Compression,10,16,aHash,0,100.0
faces,1,Compression_10,Compression,10,16,dHash,10,96.09375
faces,1,Compression_10,Compression,10,24,aHash,1,99.82638888888889
faces,1,Compression_10,Compression,10,24,dHash,47,91.84027777777777
faces,1,Compression_10,Compression,10,32,aHash,1,99.90234375
faces,1,Compression_10,Compression,10,32,dHash,96,90.625
faces,1,Resize_50,Resize,50,4,aHash,0,100.0
faces,1,Resize_50,Resize,50,4,dHash,0,100.0
faces,1,Resize_50,Resize,50,6,aHash,0,100.0
faces,1,Resize_50,Resize,50,6,dHash,0,100.0
faces,1,Resize_50,Resize,50,8,aHash,0,100.0
faces,1,Resize_50,Resize,50,8,dHash,0,100.0
faces,1,Resize_50,Resize,50,12,aHash,0,100.0
faces,1,Resize_50,Resize,50,12,dHash,2,98.61111111111111
faces,1,Resize_50,Resize,50,16,aHash,0,100.0
faces,1,Resize_50,Resize,50,16,dHash,4,98.4375
faces,1,Resize_50,Resize,50,24,aHash,0,100.0
faces,1,Resize_50,Resize,50,24,dHash,6,98.95833333333333
faces,1,Resize_50,Resize,50,32,aHash,1,99.90234375
faces,1,Resize_50,Resize,50,32,dHash,22,97.8515625
faces,1,Resize_75,Resize,75,4,aHash,0,100.0
faces,1,Resize_75,Resize,75,4,dHash,0,100.0
faces,1,Resize_75,Resize,75,6,aHash,0,100.0
faces,1,Resize_75,Resize,75,6,dHash,0,100.0
faces,1,Resize_75,Resize,75,8,aHash,0,100.0
faces,1,Resize_75,Resize,75,8,dHash,0,100.0
faces,1,Resize_75,Resize,75,12,aHash,0,100.0
faces,1,Resize_75,Resize,75,12,dHash,2,98.61111111111111
faces,1,Resize_75,Resize,75,16,aHash,0,100.0
faces,1,Resize_75,Resize,75,16,dHash,4,98.4375
faces,1,Resize_75,Resize,75,24,aHash,0,100.0
faces,1,Resize_75,Resize,75,24,dHash,19,96.70138888888889
faces,1,Resize_75,Resize,75,32,aHash,0,100.0
faces,1,Resize_75,Resize,75,32,dHash,32,96.875
faces,1,Resize_90,Resize,90,4,aHash,0,100.0
faces,1,Resize_90,Resize,90,4,dHash,0,100.0
faces,1,Resize_90,Resize,90,6,aHash,0,100.0
faces,1,Resize_90,Resize,90,6,dHash,0,100.0
faces,1,Resize_90,Resize,90,8,aHash,0,100.0
faces,1,Resize_90,Resize,90,8,dHash,0,100.0
faces,1,Resize_90,Resize,90,12,aHash,0,100.0
faces,1,Resize_90,Resize,90,12,dHash,2,98.61111111111111
faces,1,Resize_90,Resize,90,16,aHash,1,99.609375
faces,1,Resize_90,Resize,90,16,dHash,4,98.4375
faces,1,Resize_90,Resize,90,24,aHash,0,100.0
faces,1,Resize_90,Resize,90,24,dHash,29,94.96527777777777
faces,1,Resize_90,Resize,90,32,aHash,1,99.90234375
faces,1,Resize_90,Resize,90,32,dHash,44,95.703125
faces,1,Downscale_50,Downscale,50,4,aHash,0,100.0
faces,1,Downscale_50,Downscale,50,4,dHash,0,100.0
faces,1,Downscale_50,Downscale,50,6,aHash,0,100.0
faces,1,Downscale_50,Downscale,50,6,dHash,0,100.0
faces,1,Downscale_50,Downscale,50,8,aHash,0,100.0
faces,1,Downscale_50,Downscale,50,8,dHash,0,100.0
faces,1,Downscale_50,Downscale,50,12,aHash,0,100.0
faces,1,Downscale_50,Downscale,50,12,dHash,3,97.91666666666667
faces,1,Downscale_50,Downscale,50,16,aHash,1,99.609375
faces,1,Downscale_50,Downscale,50,16,dHash,3,98.828125
faces,1,Downscale_50,Downscale,50,24,aHash,0,100.0
faces,1,Downscale_50,Downscale,50,24,dHash,18,96.875
faces,1,Downscale_50,Downscale,50,32,aHash,1,99.90234375
faces,1,Downscale_50,Downscale,50,32,dHash,30,97.0703125
faces,1,Downscale_75,Downscale,75,4,aHash,0,100.0
faces,1,Downscale_75,Downscale,75,4,dHash,0,100.0
faces,1,Downscale_75,Downscale,75,6,aHash,0,100.0
faces,1,Downscale_75,Downscale,75,6,dHash,0,100.0
faces,1,Downscale_75,Downscale,75,8,aHash,0,100.0
faces,1,Downscale_75,Downscale,75,8,dHash,0,100.0
faces,1,Downscale_75,Downscale,75,12,aHash,0,100.0
faces,1,Downscale_75,Downscale,75,12,dHash,1,99.30555555555556
faces,1,Downscale_75,Downscale,75,16,aHash,0,100.0
faces,1,Downscale_75,Downscale,75,16,dHash,3,98.828125
faces,1,Downscale_75,Downscale,75,24,aHash,0,100.0
faces,1,Downscale_75,Downscale,75,24,dHash,16,97.22222222222223
faces,1,Downscale_75,Downscale,75,32,aHash,1,99.90234375
faces,1,Downscale_75,Downscale,75,32,dHash,38,96.2890625
faces,1,Downscale_90,Downscale,90,4,aHash,0,100.0
faces,1,Downscale_90,Downscale,90,4,dHash,0,100.0
faces,1,Downscale_90,Downscale,90,6,aHash,0,100.0
faces,1,Downscale_90,Downscale,90,6,dHash,0,100.0
faces,1,Downscale_90,Downscale,90,8,aHash,0,100.0
faces,1,Downscale_90,Downscale,90,8,dHash,0,100.0
faces,1,Downscale_90,Downscale,90,12,aHash,0,100.0
